"district","id"
"ADILABAD","1"
"AGRA","2"
"AHMEDABAD","3"
"AHMEDNAGAR","4"
"AIZWAL","5"
"AJMER","6"
"AKOLA","7"
"ALAPUZHA","8"
"ALIGARH","9"
"ALLAHABAD","10"
"ALMORA","11"
"ALWAR","12"
"AMBALA","13"
"AMBEDKAR NAGAR","14"
"AMRAOTI","15"
"AMRELI","16"
"AMRITSAR","17"
"ANAND","18"
"ANANTAPUR","19"
"ANANTNAG","20"
"ANDAMAN","21"
"ANGUL","22"
"ARARIA","23"
"AURAIYA","24"
"AURANGABAD","25"
"AZAMGARH","26"
"BADAUN","27"
"BADGAM","28"
"BAGALKOTE","29"
"BAGHPAT","30"
"BAHRAICH","31"
"BALAGHAT","32"
"BALASORE","33"
"BALLIA","34"
"BALRAMPUR","35"
"BANASKANTHA","36"
"BANDA","37"
"BANGALORE RURAL","38"
"BANGALORE URBAN","39"
"BANKURA","40"
"BANSWARA","41"
"BARABANKI","42"
"BARAN","43"
"BAREILLY","44"
"BARMER","45"
"BARODA","46"
"BARPETA","47"
"BARWANI","48"
"BASTAR","49"
"BASTI","50"
"BEED","51"
"BEGUSARAI","52"
"BELGAM","53"
"BELLARY","54"
"BETUL","55"
"BHABUA","56"
"BHAGALPUR","57"
"BHANDARA","58"
"BHARATPUR","59"
"BHATINDA","60"
"BHAVNAGAR","61"
"BHILWARA","62"
"BHIND","63"
"BHIWANI","64"
"BHOJPUR","65"
"BHOPAL","66"
"BIDAR","67"
"BIJAPUR","68"
"BIJNOR","69"
"BIKANER","70"
"BILASPUR","71"
"BIRBHUM","72"
"BODHGARH","73"
"BOKARO","74"
"BOLANGIR","75"
"BONGAIGAON","76"
"BROACH","77"
"BULANDSHAHR","78"
"BULDANA","79"
"BUNDI","80"
"BURDWAN","81"
"BUXAR","82"
"CACHAR","83"
"CANNUR","84"
"CHAMARAJANAGAR","85"
"CHAMBA","86"
"CHAMOLI","87"
"CHAMPAWAT","88"
"CHANDIGARH","89"
"CHANDRAPUR","90"
"CHANGLANG","91"
"CHENNAI","92"
"CHHATARPUR","93"
"CHHIMTUIPUI","94"
"CHIKMAGALUR","95"
"CHINDWARA","96"
"CHITRADURGA","97"
"CHITTOR","98"
"CHITTORGARH","99"
"CHURACHANDPUR","100"
"CHURU","101"
"COIMBATORE","102"
"COOCH BEHAR","103"
"CUDDALORE","104"
"CUDDAPAH","105"
"CUTTACK","106"
"DAHOD","107"
"DAKSHIN KANNADA","108"
"DAMOH","109"
"DANGS","110"
"DANTEWARA","111"
"DARBHANGA","112"
"DARJEELING","113"
"DARRANG","114"
"DATIA","115"
"DAUSA","116"
"DAVANGERE","117"
"DEHRADUN","118"
"DELHI","119"
"DEOGARH","120"
