"districtid","apr","aug","dec","feb","jan","jul","jun","mar","may","nov","oct","sep","year","states","stateid","district"
"1","0","124.40000000000001","0","3.7000000000000002","3.1000000000000001","262.60000000000002","70.400000000000006","6.4000000000000004","26.100000000000001","0","44.200000000000003","126.2","2004","ANDHRA PRADESH","2","ADILABAD"
"1","15.5","136.40000000000001","0","0.59999999999999998","91.799999999999997","655.60000000000002","152.09999999999999","15.300000000000001","0","0","150.80000000000001","218.40000000000001","2005","ANDHRA PRADESH","2","ADILABAD"
"1","23.300000000000001","363.60000000000002","0","0","0","261.80000000000001","93.5","19.899999999999999","65","34.299999999999997","35.299999999999997","336","2006","ANDHRA PRADESH","2","ADILABAD"
"1","22.100000000000001","219.19999999999999","0","0","0","109.59999999999999","141.90000000000001","0.80000000000000004","4.2999999999999998","7.9000000000000004","31.5","259.19999999999999","2007","ANDHRA PRADESH","2","ADILABAD"
"1","5.5","357.69999999999999","0","1.8999999999999999","0","207.09999999999999","144.09999999999999","60.5","0","0.29999999999999999","10.699999999999999","129","2008","ANDHRA PRADESH","2","ADILABAD"
"19","34.899999999999999","22","0","0","10.800000000000001","105.5","11.9","6","124.2","12.4","78.299999999999997","158.5","2004","ANDHRA PRADESH","2","ANANTAPUR"
"19","32.299999999999997","134.5","10.9","9","1.3999999999999999","135.80000000000001","52","3.8999999999999999","79","36.100000000000001","181.90000000000001","142.90000000000001","2005","ANDHRA PRADESH","2","ANANTAPUR"
"19","8.3000000000000007","11.4","1","0","0","27.300000000000001","81.099999999999994","38.399999999999999","86.799999999999997","92.400000000000006","67.5","80.400000000000006","2006","ANDHRA PRADESH","2","ANANTAPUR"
"19","1.5","119.90000000000001","15.300000000000001","0","0","63.100000000000001","171.40000000000001","0","13","8.0999999999999996","115","182.59999999999999","2007","ANDHRA PRADESH","2","ANANTAPUR"
"19","0","124.2","2.2000000000000002","25.199999999999999","0","108","61.700000000000003","116.7","63","42.100000000000001","130.30000000000001","193.69999999999999","2008","ANDHRA PRADESH","2","ANANTAPUR"
"98","33.799999999999997","19.600000000000001","0","2.5","3.7999999999999998","97.299999999999997","35.299999999999997","2.8999999999999999","184.09999999999999","79.799999999999997","150.5","200.59999999999999","2004","ANDHRA PRADESH","2","CHITTOR"
"98","59.399999999999999","155.5","141","27.100000000000001","0","109.09999999999999","105.3","13","78.799999999999997","286.19999999999999","365.19999999999999","203.30000000000001","2005","ANDHRA PRADESH","2","CHITTOR"
"98","20.600000000000001","96.799999999999997","38.899999999999999","0","1.5","17","123.40000000000001","48","80.599999999999994","115.09999999999999","161.19999999999999","141.5","2006","ANDHRA PRADESH","2","CHITTOR"
"98","26.699999999999999","200.69999999999999","167.5","2.8999999999999999","0","141.80000000000001","101.09999999999999","0","66.200000000000003","55.399999999999999","214.40000000000001","115.5","2007","ANDHRA PRADESH","2","CHITTOR"
"98","3.1000000000000001","82.700000000000003","10.800000000000001","3.3999999999999999","15.9","99.599999999999994","37.600000000000001","51.700000000000003","78.5","253.09999999999999","170.30000000000001","146.59999999999999","2008","ANDHRA PRADESH","2","CHITTOR"
"105","26.300000000000001","12.9","0","0.20000000000000001","0","134","22.800000000000001","8.6999999999999993","146.09999999999999","25.300000000000001","74.5","181.69999999999999","2004","ANDHRA PRADESH","2","CUDDAPAH"
"105","26.600000000000001","96.200000000000003","39.600000000000001","4.4000000000000004","0","125.90000000000001","37.799999999999997","5","39.399999999999999","91.799999999999997","333.89999999999998","69","2005","ANDHRA PRADESH","2","CUDDAPAH"
"105","3.7999999999999998","45.899999999999999","13.1","0","0","57.100000000000001","43.100000000000001","35.600000000000001","67.5","58.299999999999997","40.200000000000003","162.80000000000001","2006","ANDHRA PRADESH","2","CUDDAPAH"
"287","-101010101","76.799999999999997","0","-101010101","-101010101","39.799999999999997","33","-101010101","-101010101","1.5","0","96.799999999999997","2008","HARYANA","13","KURUKSHETRA"
