"states","id"
"ANDAMAN AND NICOBAR ISLANDS","1"
"ANDHRA PRADESH","2"
"ARUNACHAL PRADESH","3"
"ASSAM","4"
"BIHAR","5"
"CHANDIGARH","6"
"CHHATTISGARH","7"
"DADRA AND NAGAR HAVELI","8"
"DAMAN AND DIU","9"
"DELHI","10"
"GOA","11"
"GUJARAT","12"
"HARYANA","13"
"HIMACHAL PRADESH","14"
"JAMMU AND KASHMIR","15"
"JHARKHAND","16"
"KARNATAKA","17"
"KERALA","18"
"LAKSHADWEEP","19"
"MADHYA PRADESH","20"
"MAHARASHTRA","21"
"MANIPUR","22"
"MEGHALAYA","23"
"MIZORAM","24"
"NAGALAND","25"
"ORISSA","26"
"PONDICHERRY","27"
"PUNJAB","28"
"RAJASTHAN","29"
"SIKKIM","30"
"TAMILNADU","31"
"TRIPURA","32"
"UTTAR PRADESH","33"
"UTTARAKHAND","34"
"WEST BENGAL","35"
